Range,Term_Index,R1
1,R_tpw,24.82283964
1,0,-0.00021930960767036427
1,1,0.0006290946814171994
1,2,0.00029897480446778706
1,3,0.00019628817364605901
1,4,4.9961936282379865e-05
1,5,5.7368226386521485e-06
1,6,2.486900101164488e-07
